term,source,es,nes,nom_p_value,fdr_q_value,tag_pct,gene_pct,lead_genes
regulation of cell growth (GO:0001558),GO_Biological_Process_2021,0.24743393864251534,0.8487216966666523,0.7345971563981043,0.8605245929005719,3/33,2.48%,Ppp2ca;Tgfb1;Adam17
proteolysis (GO:0006508),GO_Biological_Process_2021,0.21607397050450458,0.8566005960908746,0.7593582887700535,0.8614200835562342,8/63,8.57%,Nedd8;Adam17;Ube3a;Psmd6;Prcp;Psma6;Mmp14;Htra1
toll-like receptor signaling pathway (GO:0002224),GO_Biological_Process_2021,0.2802613152680894,0.850917865794318,0.6774193548387096,0.8617776360058651,8/19,20.59%,Nmi;Fga;Cnpy3;Fgb;Rps27a;S100a14;Colec12;Fgg
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122),GO_Biological_Process_2021,0.2635260227624971,0.8643449077298746,0.6951219512195121,0.8619803173327978,6/26,15.22%,Ppm1a;S100a13;Ppp5c;Stat1;Lgals1;Fkbp1a
response to amino acid starvation (GO:1990928),GO_Biological_Process_2021,0.29138039583813896,0.8365853143900549,0.6840148698884758,0.8626695411869091,4/16,7.22%,Rheb;Atp6v1f;Atp6v1d;Atp6v1b2
cellular response to amino acid starvation (GO:0034198),GO_Biological_Process_2021,0.29138039583813896,0.8365853143900549,0.6840148698884758,0.8626695411869091,4/16,7.22%,Rheb;Atp6v1f;Atp6v1d;Atp6v1b2
negative regulation of growth (GO:0045926),GO_Biological_Process_2021,0.3075067465703101,0.8584444291751303,0.6417910447761194,0.8631896632523264,2/15,2.06%,Ppp2ca;Tgfb1
negative regulation of cell growth (GO:0030308),GO_Biological_Process_2021,0.3075067465703101,0.8584444291751303,0.6417910447761194,0.8631896632523264,2/15,2.06%,Ppp2ca;Tgfb1
regulation of cell adhesion (GO:0030155),GO_Biological_Process_2021,0.2647063079251198,0.8419059202422916,0.7174887892376681,0.8632304396413656,3/24,4.80%,Ppp2ca;Arhgdib;Plxnb2
positive regulation of cytokine production (GO:0001819),GO_Biological_Process_2021,0.24509082260561407,0.876885179569334,0.7379679144385026,0.8638497072319126,6/39,9.91%,Tgfb1;Adam17;Sulf1;Sod1;S100a13;Rock2
positive regulation of response to external stimulus (GO:0032103),GO_Biological_Process_2021,0.30226410789682545,0.865238961190097,0.6530612244897959,0.8659635776383259,2/17,9.70%,Tgfb1;Nmi
negative regulation of cell migration (GO:0030336),GO_Biological_Process_2021,0.25789491809145665,0.8654598438989844,0.695067264573991,0.8714571061471881,3/28,4.85%,Arhgdib;Sulf1;Arpin
extracellular matrix organization (GO:0030198),GO_Biological_Process_2021,0.20861483421007296,0.8658539455338073,0.8555555555555555,0.876708659126954,15/107,14.09%,Col16a1;Col12a1;Fbln5;Col18a1;Tgfb1;Nid2;Mfap2;Mmp14;Htra1;Adamts4;Fga;Ppib;Fgb;Crtap;Tgfb2
