accession,gene,detected_in,Intensity 31578,Intensity 31580,Intensity 31579,Intensity 31581
Q5SGK3,Aox2,control_only,,,5136400.0,0.0
Q5XG69,Fam169a,treated_only,12902000.0,0.0,,
Q60716,P4ha2,control_only,,,36865000.0,0.0
Q60899,Elavl2,control_only,,,10187000.0,0.0
Q61024,Asns,treated_only,60055000.0,0.0,,
Q61074,Ppm1g,treated_only,1310100.0,27578000.0,,
Q61160,Fadd,control_only,,,115170000.0,113020000.0
Q61189,Clns1a,control_only,,,14579000.0,55511000.0
Q61335,Bcap31,control_only,,,0.0,8144500.0
Q61521,Ereg,control_only,,,21778000.0,34134000.0
Q61656,Ddx5,treated_only,40599000.0,41609000.0,,
Q61712,Dnajc1,treated_only,11736000.0,0.0,,
Q61824,Adam12,treated_only,0.0,108670000.0,,
Q61879,Myh10,treated_only,0.0,1830600.0,,
Q61908,Cmc4,treated_only,6420900.0,5778200.0,,
Q62028,Pla2r1,treated_only,9873700.0,0.0,,
Q62095;P16381;Q62167,Ddx3y;D1Pas1;Ddx3x,treated_only,8922300.0,8252300.0,,
Q62186,Ssr4,control_only,,,0.0,3007100.0
Q62267,Sprr1b,control_only,,,0.0,22636000.0
Q62418,Dbnl,treated_only,17445000.0,7862800.0,,
Q62445,Sp4,treated_only,0.0,23834000.0,,
Q63844,Mapk3,control_only,,,2315500.0,16513000.0
Q63932,Map2k2,control_only,,,0.0,0.0
Q64012,Raly,treated_only,13727000.0,31958000.0,,
Q64152,Btf3,treated_only,33844000.0,8192200.0,,
Q64302,Tm4sf1,control_only,,,0.0,169320000.0
Q64337,Sqstm1,control_only,,,0.0,45274000.0
Q64339,Isg15,treated_only,0.0,57574000.0,,
Q64437,Adh7,control_only,,,21058000.0,24531000.0
Q64471,Gstt1,treated_only,20185000.0,38256000.0,,
Q64523;Q6GSS7;Q64522,Hist2h2ac;Hist2h2aa1;Hist2h2ab,control_only,,,0.0,116710000.0
Q68SA9,Adamts7,treated_only,2337100.0,14015000.0,,
Q69ZU8,Ankrd6,control_only,,,18667000.0,13757000.0
Q6A0A9,FAM120A,treated_only,13542000.0,3184600.0,,
Q6AZB0,Boc,treated_only,0.0,20137000.0,,
Q6GSS7;Q64523,Hist2h2aa1;Hist2h2ac,treated_only,1743000000.0,2046400000.0,,
Q6NT99,Dusp23,treated_only,2749300.0,0.0,,
