© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Assembly of collagen fibrils and other multimeric structures	8.93E00	2.46E-01	2.324	COL11A1,COL12A1,COL14A1,COL15A1,COL18A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,COL7A1,LAMC2,LOXL3,MMP7	
Collagen chain trimerization	8.9E00	2.95E-01	1.387	COL11A1,COL12A1,COL14A1,COL15A1,COL16A1,COL18A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,COL7A1	
Degradation of beta-catenin by the destruction complex	8.84E00	1.96E-01	0.000	ADRM1,CUL1,PPP2CA,PPP2CB,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
Cell Cycle Checkpoints	8.83E00	1.13E-01	0.870	ADRM1,BABAM1,DYNC1H1,H2AX,MAD2L1,MCM2,MCM6,NUP37,PAFAH1B1,PPP1CC,PPP2CA,PPP2CB,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,RPA3,SEC13,UBE2N,UBE2V2,YWHAE,YWHAG,YWHAH	
TCR signaling	8.8E00	1.65E-01	1.091	ADRM1,CDC34,CUL1,ENAH,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,UBE2N,UBE2V1,VASP	
Somitogenesis	8.48E00	2.5E-01	0.000	ADRM1,PSMA6,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
FAT10 Signaling Pathway	8.48E00	2.5E-01	NaN	PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	8.11E00	1.3E-01	1.941	ACP6,CILP,DCPH1,MDP1,NUDT14,NUDT2,NUDT9,PDXP,PLCD1,PPM1L,PPP1CA,PPP1CB,PPP1CC,PPP1R12B,PPP1R7,PPP2CA,PPP2CB,PPP4C,PPP4R1,PPP5C,PSPH,PTPA,SET,THNSL2,UBLCP1	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	8.11E00	1.3E-01	1.941	ACP6,CILP,DCPH1,MDP1,NUDT14,NUDT2,NUDT9,PDXP,PLCD1,PPM1L,PPP1CA,PPP1CB,PPP1CC,PPP1R12B,PPP1R7,PPP2CA,PPP2CB,PPP4C,PPP4R1,PPP5C,PSPH,PTPA,SET,THNSL2,UBLCP1	
Regulation of mitotic cell cycle	8.07E00	1.87E-01	-0.243	ADRM1,CUL1,MAD2L1,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
Hedgehog 'off' state	8.02E00	1.65E-01	0.688	ADRM1,CUL1,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,TUBA1A,TUBB2A,TUBB3	
Citric acid cycle (TCA cycle)	7.97E00	4.29E-01	3.000	ACO2,CS,DLD,DLST,FH,IDH2,IDH3A,SDHA,SUCLA2	
Protein Sorting Signaling Pathway	7.92E00	1.32E-01	2.711	AP1G1,AP1M1,AP1S1,AP1S2,AP3D1,COL7A1,COPE,COPG2,COPZ1,COPZ2,GBA1,MIA3,SEC13,SEC23A,SEC23B,SEC31A,SERPINH1,SNX12,SNX5,SNX6,SORT1,VPS26A,VPS26B,VPS35	
Huntington's Disease Signaling	7.9E00	1.08E-01	1.134	ATP5F1D,BAX,CAPN2,CASP3,DNM1L,EGFR,GNB1,GNG12,MAPK1,NAPA,NSF,POLR2D,POLR2E,POLR2H,POLR2I,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,SDHA,YKT6	
Cachexia Signaling Pathway	7.77E00	9.65E-02	1.029	CAPN2,CASP3,CCL2,EIF2S2,EIF2S3,FGA,GABARAPL1,GDF15,HMGB1,HSP90AA1,IL1RL1,INSL3,LIF,LIFR,MAPK1,MAPK14,PHGDH,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,STAT1,TGFB1,TGFB3,TNFRSF1B,VPS28	
TCA Cycle II (Eukaryotic)	7.75E00	4.09E-01	3.000	ACO2,CS,DLD,DLST,FH,IDH3A,MDH1,SDHA,SUCLA2	
C-type lectin receptors (CLRs)	7.68E00	1.44E-01	0.655	ADRM1,CDC34,CUL1,NEDD8,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,UBA3,UBE2N,UBE2V1	
Gene and protein expression by JAK-STAT signaling after IL-12 stimulation	7.65E00	2.97E-01	-0.302	ANXA2,HNRNPDL,HNRNPF,LMNB1,MIF,MTAP,RPLP0,SNRPA1,SOD1,TALDO1,TCP1	
Phagosome Maturation	7.64E00	1.32E-01	NaN	ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1F,ATP6V1G1,ATP6V1H,CANX,CTSH,CTSO,DYNC1H1,Dynlt1b (includes others),HLA-A,LAMP1,LAMP2,NAPA,NSF,PRDX5,RAB5C,TUBA1A,TUBB2A,TUBB3,VPS28,YKT6	
