© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Pancreatic Secretion Signaling Pathway	8.51E-01	4.78E-02	0.905	ARHGDIB,CA2,CA5B,EGFR,MAPK1,NAPA,NSF,PLCD1,PPP1CA,PPP1CB,PPP1CC,YKT6	
SUMOylation of ubiquitinylation proteins	8.47E-01	7.69E-02	NaN	NUP37,SEC13,TPR	
Noradrenaline and Adrenaline Degradation	8.47E-01	7.69E-02	NaN	ADH5,ALDH1A2,ALDH1L1	
GADD45 Signaling	8.46E-01	6.67E-02	0.000	MAPK1,MAPK14,TGFB1,TGFB3	
Interleukin-12 family signaling	8.41E-01	1E-01	NaN	CANX,STAT1	
Methionine Degradation I (to Homocysteine)	8.41E-01	1E-01	NaN	AHCY,MAT2A	
Glycerophospholipid biosynthesis	8.41E-01	5.43E-02	1.890	ACP6,CSNK2B,GPD1,GPD1L,PITPNB,PLA2G15,STARD10	
Paxillin Signaling	8.33E-01	5.66E-02	0.816	ACTB,ITGA3,ITGB1,MAPK1,MAPK14,TLN1	
Signaling by FGFR3	8.23E-01	7.5E-02	NaN	MAPK1,PPP2CA,PPP2CB	
Adrenergic Receptor Signaling Pathway (Enhanced)	8.13E-01	4.88E-02	0.632	ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1F,ATP6V1G1,ATP6V1H,LIF,PLCD1,TGFB1,TGFB3	
Autism Signaling Pathway	8.11E-01	4.56E-02	-0.832	ALDH16A1,ALDH1A2,ALDH1L1,CCL2,DLD,EIF4E,HLA-A,IGF2,LIF,MAPK1,RHEB,TGFB1,TGFB3,UBE3A	
Lysosome Positioning Signaling Pathway	8.08E-01	5.13E-02	-1.414	ACTB,DCTN2,DCTN3,DYNC1H1,EGFR,MAPK1,MYH9,SEPTIN9	
Formation of the ureteric bud	8.07E-01	9.52E-02	NaN	ITGB1,NPNT	
Co-inhibition by CTLA4	8.07E-01	9.52E-02	NaN	PPP2CA,PPP2CB	
Bile Acid Biosynthesis, Neutral Pathway	8.07E-01	9.52E-02	NaN	AKR1D1,AMACR	
Endoplasmic Reticulum Stress Pathway	8.07E-01	9.52E-02	NaN	CASP3,MBTPS1	
WNK Renal Signaling Pathway	8.06E-01	5.56E-02	NaN	CUL1,ELOB,ELOC,MAPK14,SUGT1,UBR2	
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	8.05E-01	5.3E-02	2.646	BABAM1,H2AX,PPP4C,RPA3,SUMO2,UBE2N,UBE2V2	
Phosphorylation and nuclear translocation of BMAL1 (ARNTL) and CLOCK	8.04E-01	2E-01	NaN	CSNK2B	
Superpathway of Serine and Glycine Biosynthesis I	8.04E-01	2E-01	NaN	PHGDH	
Glycerol Degradation I	8.04E-01	2E-01	NaN	GPD1	
Myo-inositol Biosynthesis	8.04E-01	2E-01	NaN	IMPA2	
Citrulline-Nitric Oxide Cycle	8.04E-01	2E-01	NaN	ASL	
Galactose Degradation I (Leloir Pathway)	8.04E-01	2E-01	NaN	GALK1	
Lactose Degradation III	8.04E-01	2E-01	NaN	GLB1	
Signaling by FGFR4	8E-01	7.32E-02	NaN	MAPK1,PPP2CA,PPP2CB	
fMLP Signaling in Neutrophils	7.93E-01	5.26E-02	2.449	ACTR3,ARPC1A,ARPC2,ARPC5,GNB1,GNG12,MAPK1	
IL-8 Signaling	7.85E-01	4.81E-02	1.134	BAX,EGFR,GNB1,GNG12,IQGAP1,LASP1,MAPK1,MYL12B,MYL9,VASP	
Neuroprotective Role of THOP1 in Alzheimer's Disease	7.81E-01	5.22E-02	-1.000	DPP7,HGFAC,HLA-A,HTRA1,HTRA2,PRSS23,YWHAE	
Hepatic Fibrosis Signaling Pathway	7.8E-01	4.33E-02	1.291	CASP3,CCL2,COL1A2,IL1RL1,ITGA3,ITGB1,LRP1,MAPK1,MAPK14,MYL12B,MYL9,MYLK,SDHA,SPP1,TGFB1,TGFB3,TIMP1,TNFRSF1B	
Activation of gene expression by SREBF (SREBP)	7.78E-01	7.14E-02	NaN	ACACA,HMGCS1,MVD	
Formation of WDR5-containing histone-modifying complexes	7.78E-01	7.14E-02	NaN	DR1,PSIP1,WDR5	
Regulation of TLR by endogenous ligand	7.75E-01	9.09E-02	NaN	FGA,HMGB1	
Chaperone Mediated Autophagy	7.75E-01	9.09E-02	NaN	HSP90AA1,LAMP2	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	7.75E-01	9.09E-02	NaN	BPNT1,IMPA2	
Fatty Acid α-oxidation	7.75E-01	9.09E-02	NaN	ALDH1A2,ALDH1L1	
Oncostatin M Signaling	7.57E-01	6.98E-02	NaN	CHI3L1,MAPK1,STAT1	
Preeclampsia Signaling Pathway	7.56E-01	4.97E-02	-1.414	JAG1,LIF,LIFR,MMP14,MYL9,TGFB1,TGFB3,TIMP1	
Ferroptosis Signaling Pathway	7.48E-01	5.11E-02	1.134	ACACA,ARF4,BID,CARS1,H2AX,MAPK1,USP7	
RAF-independent MAPK1/3 activation	7.45E-01	8.7E-02	NaN	MAPK1,PEA15	
Nephrin family interactions	7.45E-01	8.7E-02	NaN	IQGAP1,SPTBN1	
Histamine Degradation	7.45E-01	8.7E-02	NaN	ALDH1A2,ALDH1L1	
Cysteine Biosynthesis III (mammalia)	7.45E-01	8.7E-02	NaN	AHCY,MAT2A	
Apelin Cardiac Fibroblast Signaling Pathway	7.45E-01	8.7E-02	NaN	TGFB1,TGFB3	
ZFX in Tumorigenesis Signaling Pathway	7.42E-01	6.06E-02	0.000	CASP3,EGFR,MAPK1,WDR5	
SNARE Signaling Pathway	7.37E-01	5.07E-02	0.378	MYH11,MYH9,MYL9,NAPA,NSF,SGTA,YKT6	
Hereditary Breast Cancer Signaling	7.37E-01	5.07E-02	-2.646	H2AX,NPM1,POLR2D,POLR2E,POLR2H,POLR2I,TGFB1	
TAK1-dependent IKK and NF-kappa-B activation	7.37E-01	6.82E-02	NaN	HMGB1,UBE2N,UBE2V1	
Signaling by Retinoic Acid	7.37E-01	6.82E-02	NaN	ALDH1A2,DLD,PDHB	
Galactose catabolism	7.32E-01	1.67E-01	NaN	GALK1	
NFE2L2 regulating inflammation associated genes	7.32E-01	1.67E-01	NaN	CCL2	
Arginine Biosynthesis IV	7.32E-01	1.67E-01	NaN	ASL	
Glycine Cleavage Complex	7.32E-01	1.67E-01	NaN	DLD	
Selenocysteine Biosynthesis II (Archaea and Eukaryotes)	7.32E-01	1.67E-01	NaN	SEPHS1	
UDP-N-acetyl-D-glucosamine Biosynthesis II	7.32E-01	1.67E-01	NaN	UAP1	
Glycogen Biosynthesis II (from UDP-D-Glucose)	7.32E-01	1.67E-01	NaN	GYG1	
Glutamate Degradation III (via 4-aminobutyrate)	7.32E-01	1.67E-01	NaN	ABAT	
Airway Pathology in Chronic Obstructive Pulmonary Disease	7.32E-01	5.26E-02	NaN	CCL2,LIF,PTGDS,RBP4,TGFB1,TGFB3	
Ribavirin ADME	7.26E-01	5.97E-02	1.000	ADK,ITPA,NME3,NT5C2	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	7.26E-01	5.97E-02	NaN	CRKL,IRF3,KPNA3,MAPK1	
Cell Cycle Control of Chromosomal Replication	7.26E-01	5.97E-02	NaN	MCM2,MCM6,PARP1,RPA3	
Sleep NREM Signaling Pathway	7.2E-01	5.22E-02	0.816	EGFR,MAPK1,PARP1,YWHAE,YWHAG,YWHAH	
Ceramide Signaling	7.18E-01	5.49E-02	0.447	PPM1L,PPP2CA,PPP2CB,PTPA,TNFRSF1B	
Carboxyterminal post-translational modifications of tubulin	7.17E-01	6.67E-02	NaN	TUBA1A,TUBB2A,TUBB3	
Other interleukin signaling	7.16E-01	8.33E-02	NaN	CASP3,PTPRZ1	
RHO GTPases Activate NADPH Oxidases	7.16E-01	8.33E-02	NaN	MAPK1,MAPK14	
Acute Phase Response Signaling	7.1E-01	4.71E-02	1.633	C4a/C4b,FGA,HNRNPK,MAPK1,MAPK14,RBP4,SERPINF1,SERPING1,TNFRSF1B	
rRNA modification in the nucleus and cytosol	6.95E-01	5.8E-02	1.000	RPS14,RPS2,RPS9,THUMPD1	
MyD88 cascade initiated on plasma membrane	6.89E-01	8E-02	NaN	UBE2N,UBE2V1	
Metabolism of cofactors	6.89E-01	8E-02	NaN	HSP90AA1,PTS	
DHCR24 Signaling Pathway	6.85E-01	4.9E-02	-0.816	APOE,C4a/C4b,CASP3,FGA,GC,RBP4,SERPINF1	
MSP-RON Signaling in Cancer Cells Pathway	6.85E-01	4.9E-02	0.378	EGFR,HGFAC,ITGB1,MAPK1,YWHAE,YWHAG,YWHAH	
Autophagy	6.83E-01	4.55E-02	1.667	GABARAPL1,LAMP1,LAMP2,MAPK1,PPM1L,PPP2CA,PPP2CB,PTPA,TGFB1,TNFRSF1B	
FXR/RXR Activation	6.76E-01	4.62E-02	1.414	APOE,FBP1,Gsta3,GSTK1,HMGB1,LIF,Mt1,TGFB1,TGFB3	
Bladder Cancer Signaling	6.75E-01	5.04E-02	NaN	EGFR,MAPK1,MMP14,Mmp3,MMP7,PA2G4	
Aryl hydrocarbon receptor signalling	6.72E-01	1.43E-01	NaN	PTGES3	
TYSND1 cleaves peroxisomal proteins	6.72E-01	1.43E-01	NaN	HSD17B4	
Regulation of CDH19 Expression and Function	6.72E-01	1.43E-01	NaN	JUP	
Arsenate Detoxification I (Glutaredoxin)	6.72E-01	1.43E-01	NaN	AS3MT	
Urea Cycle	6.72E-01	1.43E-01	NaN	ASL	
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate	6.72E-01	1.43E-01	NaN	GART	
Ceramide Degradation	6.72E-01	1.43E-01	NaN	ASAH2	
Glycoaminoglycan-protein Linkage Region Biosynthesis	6.72E-01	1.43E-01	NaN	XYLT1	
Aspartate Degradation II	6.72E-01	1.43E-01	NaN	MDH1	
Xenobiotic Metabolism PXR Signaling Pathway	6.67E-01	4.5E-02	-1.414	ALDH16A1,ALDH1A2,ALDH1L1,Gsta3,GSTK1,HSP90AA1,PPM1A,PPP1CA,PPP1CB,PPP1CC	
RUNX1 regulates megakaryocyte differentiation and platelet function	6.67E-01	5.26E-02	0.447	H2AX,MOV10,MYL9,PF4,WDR5	
Nucleosome assembly	6.66E-01	5.63E-02	1.000	H2AX,NPM1,RBBP7,RUVBL1	
Fertilization	6.64E-01	7.69E-02	NaN	B4GALT1,CD9	
Metabolism of porphyrins	6.64E-01	7.69E-02	NaN	ALAD,BLVRA	
WNT ligand biogenesis and trafficking	6.64E-01	7.69E-02	NaN	VPS26A,VPS35	
Complex III assembly	6.64E-01	7.69E-02	NaN	UQCRFS1,UQCRH	
iNOS Signaling	6.44E-01	6.12E-02	NaN	MAPK1,MAPK14,STAT1	
Epithelial Membrane Protein Signaling Pathway	6.43E-01	4.62E-02	0.000	ANPEP,CASP3,EGFR,ITGA3,ITGB1,MAPK1,TGFB1,TGFB3	
Cholesterol biosynthesis	6.39E-01	7.41E-02	NaN	HMGCS1,MVD	
Integrin signaling	6.39E-01	7.41E-02	NaN	FGA,TLN1	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	6.39E-01	7.41E-02	NaN	IFNAR2,STAT1	
SUMOylation of chromatin organization proteins	6.38E-01	5.48E-02	2.000	NUP37,SEC13,SUMO2,TPR	
Xenobiotic Metabolism Signaling	6.34E-01	4.2E-02	NaN	ALDH16A1,ALDH1A2,ALDH1L1,Gsta3,GSTK1,HSP90AA1,MAPK1,MAPK14,NQO2,PPM1L,PPP2CA,PPP2CB,PTGES3,PTPA	
Interferon gamma signaling	6.32E-01	5.1E-02	1.342	HLA-A,IRF3,MAPK1,STAT1,YBX1	
p38 MAPK Signaling	6.22E-01	4.84E-02	0.000	IL1RL1,MAPK14,STAT1,TGFB1,TGFB3,TNFRSF1B	
γ-glutamyl Cycle	6.21E-01	1.25E-01	NaN	ANPEP	
Pancreatic Adenocarcinoma Signaling	6.12E-01	4.8E-02	NaN	EGFR,MAPK1,PA2G4,STAT1,TGFB1,TGFB3	
Transcriptional regulation by RUNX2	6.11E-01	5.88E-02	NaN	BAX,LGALS3,MAPK1	
UVC-Induced MAPK Signaling	6.11E-01	5.88E-02	NaN	EGFR,MAPK1,MAPK14	
PTEN Signaling	6.09E-01	4.64E-02	1.134	CASP3,CSNK2B,EGFR,ITGA3,ITGB1,MAPK1,YWHAH	
Plasma lipoprotein assembly, remodeling, and clearance	5.98E-01	5.26E-02	1.000	AP2M1,APOE,MBTPS1,PCSK9	
Salvage Pathways of Pyrimidine Ribonucleotides	5.98E-01	4.95E-02	0.000	AK1,CMPK2,MAPK1,Nme1,NME3	
Signaling by FGFR1	5.95E-01	5.77E-02	NaN	MAPK1,PPP2CA,PPP2CB	
Myogenesis	5.94E-01	6.9E-02	NaN	MAPK14,NEO1	
Role of p14/p19ARF in Tumor Suppression	5.94E-01	6.9E-02	NaN	NPM1,SF3A1	
XIST Epigenetic Regulation Signaling Pathway	5.83E-01	4.55E-02	1.134	FUS,H2AX,HNRNPK,HNRNPU,MATR3,RBBP7,TARDBP	
Gap Junction Signaling	5.81E-01	4.09E-02	1.155	ACTB,CASP3,CTTN,EGFR,MAPK1,PLCD1,TGFB1,TJP2,TNFRSF1B,TUBA1A,TUBB2A,Tubb2b,TUBB3,YBX3	
Erythrocytes take up oxygen and release carbon dioxide	5.77E-01	1.11E-01	NaN	CA2	
Malate-aspartate shuttle	5.77E-01	1.11E-01	NaN	MDH1	
Sphingosine and Sphingosine-1-phosphate Metabolism	5.77E-01	1.11E-01	NaN	ASAH2	
Signaling by NOTCH1	5.74E-01	5.13E-02	1.000	ADAM17,CUL1,JAG1,NCSTN	
DNA Damage/Telomere Stress Induced Senescence	5.74E-01	5.13E-02	2.000	ASF1A,H1-1,H2AX,LMNB1	
Activation of kainate receptors upon glutamate binding	5.73E-01	6.67E-02	NaN	GNB1,GNG12	
Signaling by NTRK3 (TRKC)	5.73E-01	6.67E-02	NaN	BAX,CASP3	
Regulation of CDH11 Expression and Function	5.73E-01	6.67E-02	NaN	JUP,MOV10	
Irritable Bowel Syndrome Signaling Pathway	5.73E-01	4.15E-02	0.000	ARPC2,CCL2,IL1RL1,LIF,MMP14,Mmp3,MMP7,MYL12B,MYL9,MYLK,TGFB1,TGFB3	
Ion channel transport	5.62E-01	4.37E-02	0.000	ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1F,ATP6V1G1,ATP6V1H,NEDD4L,SRI	
TREM1 Signaling	5.62E-01	5.06E-02	NaN	CCL2,IL1RL1,ITGB1,MAPK1	
IL-7 Signaling Pathway	5.62E-01	5.06E-02	1.000	BAX,MAPK1,MAPK14,STAT1	
IGF-1 Signaling	5.56E-01	4.76E-02	NaN	CSNK2B,MAPK1,YWHAE,YWHAG,YWHAH	
TRIM21 Intracellular Antibody Signaling Pathway	5.54E-01	3.87E-02	-0.426	ANXA2,IFI35,IFNAR2,IRF3,NMI,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,STAT1,UBE2N,USP7	
Glutamate binding, activation of AMPA receptors and synaptic plasticity	5.53E-01	6.45E-02	NaN	AP2M1,NSF	
MyD88 dependent cascade initiated on endosome	5.53E-01	6.45E-02	NaN	UBE2N,UBE2V1	
Transcriptional regulation of brown and beige adipocyte differentiation	5.53E-01	6.45E-02	NaN	HNRNPU,RBBP7	
Lymphotoxin β Receptor Signaling	5.51E-01	5.45E-02	NaN	CASP3,Cyct,MAPK1	
Role of BRCA1 in DNA Damage Response	5.5E-01	5E-02	NaN	ACTB,BABAM1,SMARCB1,STAT1	
Dopamine-DARPP32 Feedback in cAMP Signaling	5.47E-01	4.32E-02	0.378	PLCD1,PPM1L,PPP1CA,PPP1CB,PPP1CC,PPP2CA,PPP2CB,PTPA	
Cellular Effects of Sildenafil (Viagra)	5.47E-01	3.81E-02	0.408	ACTB,CAPN2,CASP3,CELSR3,GNB1,GNG12,HSP90AA1,MAPK1,MAPK14,MPRIP,MYH11,MYH9,MYL12B,MYL9,MYLK,PDE6D,PPM1L,PPP1CA,PPP1CB,PPP1CC,PPP1R12B,PPP2CA,PPP2CB,PTPA,TGFB1,TGFB3	
Heparan Sulfate Biosynthesis	5.46E-01	4.72E-02	2.000	ADPRS,EXT1,EXT2,EXTL2,XYLT1	
Activin Inhibin Signaling Pathway	5.39E-01	4.23E-02	1.000	COL1A2,FST,IL1RL1,MAPK1,MAPK14,MMP7,TGFB1,TGFB3,TNFRSF1B	
DDX58/IFIH1-mediated induction of interferon-alpha/beta	5.38E-01	4.94E-02	2.000	HMGB1,HSP90AA1,IRF3,TKFC	
POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation	5.38E-01	1E-01	NaN	TSC22D1	
Caspase activation via Dependence Receptors in the absence of ligand	5.38E-01	1E-01	NaN	CASP3	
Urea cycle	5.38E-01	1E-01	NaN	ASL	
Creatine metabolism	5.38E-01	1E-01	NaN	GATM	
Interleukin-9 signaling	5.38E-01	1E-01	NaN	STAT1	
Calcium Transport I	5.38E-01	1E-01	NaN	ANXA5	
CD27 Signaling in Lymphocytes	5.37E-01	5.36E-02	NaN	BID,CASP3,Cyct	
CNTF Signaling	5.37E-01	5.36E-02	NaN	LIFR,MAPK1,STAT1	
Signaling by VEGF	5.36E-01	4.67E-02	0.447	ACTB,BRK1,HSP90AA1,JUP,MAPK14	
Cardiac Hypertrophy Signaling	5.35E-01	4.1E-02	1.000	ADSS2,EIF4E,GNB1,GNG12,MAPK1,MAPK14,MYL12B,MYL9,PLCD1,TGFB1,TGFB3	
G-protein beta:gamma signalling	5.34E-01	6.25E-02	NaN	GNB1,GNG12	
RAR Activation	5.33E-01	3.92E-02	1.000	ACTB,ADAM17,ALDH1A2,COL1A2,CSNK2B,GNB1,LIF,MAPK1,MAPK14,Mmp3,PARP1,PDE6D,PSMC5,RBP4,SMARCB1,TGFB1,TGFB3	
FLT3 Signaling in Hematopoietic Progenitor Cells	5.27E-01	4.88E-02	1.000	EIF4E,MAPK1,MAPK14,STAT1	
Estrogen-Dependent Breast Cancer Signaling	5.27E-01	4.88E-02	NaN	Akr1b7,EGFR,HSD17B4,MAPK1	
Neurexins and neuroligins	5.23E-01	5.26E-02	NaN	EPB41L2,EPB41L3,LIN7C	
TNF signaling	5.23E-01	5.26E-02	NaN	ADAM17,RACK1,UBE2L3	
IL-12 Signaling and Production in Macrophages	5.21E-01	4.12E-02	1.667	APOE,COL1A2,IRF3,Lyz1/Lyz2,MAPK1,MAPK14,RBP4,STAT1,TGFB1,TGFB3	
IL-17 Signaling	5.18E-01	4.23E-02	0.378	CCL2,Chil3/Chil4,HSP90AA1,LIF,MAPK1,MAPK14,TGFB1,TGFB3	
Chromatin modifying enzymes	5.17E-01	4.06E-02	0.905	ACTB,ACTL6A,COPRS,DR1,H2AX,HAT1,RBBP7,RPS2,RUVBL1,SMARCB1,WDR5	
Egg-Sperm Fusion Signaling Pathway	5.17E-01	4.59E-02	1.342	CD81,CD9,NAPA,NSF,YKT6	
Cristae formation	5.16E-01	6.06E-02	NaN	ATP5F1D,IMMT	
Role of IL-17A in Arthritis	5.1E-01	5.17E-02	NaN	CCL2,MAPK1,MAPK14	
Processing and activation of SUMO	5.04E-01	9.09E-02	NaN	SUMO2	
Glucose and Glucose-1-phosphate Degradation	5.04E-01	9.09E-02	NaN	RGN	
NAD Phosphorylation and Dephosphorylation	5.04E-01	9.09E-02	NaN	ACP6	
Glycogen Degradation II	5.04E-01	9.09E-02	NaN	MTAP	
Transcriptional Regulatory Network in Embryonic Stem Cells	5.03E-01	4.27E-02	-0.816	IGF2,LIF,LIFR,MAPK1,SET,TGFB1,TGFB3	
Myelination Signaling Pathway	5.02E-01	3.95E-02	0.832	ADAM17,ARHGAP1,EGFR,EIF4E,ITGA3,ITGB1,LAMA2,LAMA4,LAMC2,LMNB1,MAPK1,NCSTN,RHEB	
4-1BB Signaling in T Lymphocytes	4.98E-01	5.88E-02	NaN	MAPK1,MAPK14	
RNA Polymerase I Transcription	4.98E-01	4.5E-02	2.236	CAVIN1,H2AX,POLR2E,POLR2H,RBBP7	
Sleep REM Signaling Pathway	4.97E-01	5.08E-02	NaN	EIF4E,MAPK1,Mt1	
HOTAIR Regulatory Pathway	4.96E-01	4.24E-02	0.816	COL1A2,MMP14,Mmp3,MMP7,RBBP7,SPP1,TGFB1	
Activation of NMDA receptors and postsynaptic events	4.95E-01	4.71E-02	2.000	MAPK1,TUBA1A,TUBB2A,TUBB3	
Cytoprotection by HMOX1	4.85E-01	5E-02	NaN	BLVRA,COX5A,COX5B	
Oncogene Induced Senescence	4.82E-01	5.71E-02	NaN	MAPK1,MOV10	
Transcriptional Regulation by NPAS4	4.82E-01	5.71E-02	NaN	MAPK1,MOV10	
PD-1, PD-L1 cancer immunotherapy pathway	4.81E-01	4.42E-02	NaN	CSNK2B,HLA-A,TGFB1,TGFB3,TNFRSF1B	
PDGF Signaling	4.75E-01	4.6E-02	0.000	CRKL,CSNK2B,MAPK1,STAT1	
GP1b-IX-V activation signalling	4.73E-01	8.33E-02	NaN	COL1A2	
HDR through MMEJ (alt-NHEJ)	4.73E-01	8.33E-02	NaN	PARP1	
Butyrophilin (BTN) family interactions	4.73E-01	8.33E-02	NaN	XDH	
Ketolysis	4.73E-01	8.33E-02	NaN	Acat2/Acat3	
UDP-N-acetyl-D-galactosamine Biosynthesis II	4.73E-01	8.33E-02	NaN	UAP1	
Folate Transformations I	4.73E-01	8.33E-02	NaN	MTR	
Retinoic acid Mediated Apoptosis Signaling	4.72E-01	4.92E-02	NaN	BID,CASP3,PARP1	
Regulation of endogenous retroelements	4.72E-01	4.26E-02	0.816	ACTB,ACTL6A,H2AX,RBBP7,SMARCB1,SUMO2	
Signaling by NOTCH2	4.66E-01	5.56E-02	NaN	JAG1,NCSTN	
Striated Muscle Contraction	4.66E-01	5.56E-02	NaN	TMOD3,TPM3	
Kinesins	4.61E-01	4.84E-02	NaN	TUBA1A,TUBB2A,TUBB3	
B-WICH complex positively regulates rRNA expression	4.55E-01	4.49E-02	1.000	ACTB,H2AX,POLR2E,POLR2H	
Erythrocytes take up carbon dioxide and release oxygen	4.45E-01	7.69E-02	NaN	CA2	
Mitochondrial iron-sulfur cluster biogenesis	4.45E-01	7.69E-02	NaN	ISCA2	
Trafficking and processing of endosomal TLR	4.45E-01	7.69E-02	NaN	CNPY3	
Cytosolic iron-sulfur cluster assembly	4.45E-01	7.69E-02	NaN	CIAO1	
Platelet Aggregation (Plug Formation)	4.45E-01	7.69E-02	NaN	COL1A2	
SUMOylation of immune response proteins	4.45E-01	7.69E-02	NaN	SUMO2	
Transcriptional regulation of testis differentiation	4.45E-01	7.69E-02	NaN	PTGDS	
Nephron development	4.45E-01	7.69E-02	NaN	JAG1	
Cleavage and Polyadenylation of Pre-mRNA	4.45E-01	7.69E-02	NaN	PABPN1	
Oleate Biosynthesis II (Animals)	4.45E-01	7.69E-02	NaN	CYB5A	
Glycogen Degradation III	4.45E-01	7.69E-02	NaN	MTAP	
Mitochondrial biogenesis	4.38E-01	4.69E-02	NaN	IDH2,MAPK14,SSBP1	
Cytosolic sensors of pathogen-associated DNA	4.38E-01	4.69E-02	NaN	IRF3,POLR2E,POLR2H	
TWEAK Signaling	4.36E-01	5.26E-02	NaN	BID,CASP3	
MIF-mediated Glucocorticoid Regulation	4.36E-01	5.26E-02	NaN	MAPK1,MIF	
Methylglyoxal Degradation III	4.36E-01	5.26E-02	NaN	Akr1b7,AKR7A2	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	4.28E-01	4.35E-02	NaN	CCL2,IFNAR2,IRF3,STAT1	
Chronic Myeloid Leukemia Signaling	4.25E-01	3.82E-02	1.265	CRKL,HSP90AA1,ITGB1,MAPK1,PA2G4,PLCD1,SET,SPP1,TGFB1,TGFB3,USP7	
Complement System	4.22E-01	5.13E-02	NaN	C4a/C4b,SERPING1	
Th1 and Th2 Activation Pathway	4.21E-01	3.98E-02	NaN	HLA-A,IL1RL1,JAG1,LGALS9,NCSTN,STAT1,TGFB1	
Carnitine shuttle	4.2E-01	7.14E-02	NaN	ACACA	
Glutamate and glutamine metabolism	4.2E-01	7.14E-02	NaN	KYAT1	
Assembly of RNA Polymerase III Complex	4.2E-01	7.14E-02	NaN	SF3A1	
Colanic Acid Building Blocks Biosynthesis	4.2E-01	7.14E-02	NaN	GALK1	
Regulation of TP53 Activity through Phosphorylation	4.19E-01	4.3E-02	1.000	CSNK2B,MAPK14,RPA3,SUPT16H	
PPARα/RXRα Activation	4.15E-01	3.9E-02	-0.378	GPD1,HSP90AA1,IL1RL1,MAPK1,MAPK14,PLCD1,TGFB1,TGFB3	
Dopamine Degradation	4.08E-01	5E-02	NaN	ALDH1A2,ALDH1L1	
ERBB4 Signaling	4.07E-01	4.48E-02	NaN	ADAM17,MAPK1,NCSTN	
SPINK1 General Cancer Pathway	4.07E-01	4.48E-02	NaN	EGFR,MAPK1,Mt1	
Chaperone Mediated Autophagy Signaling Pathway	4.04E-01	3.61E-02	0.853	ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1F,ATP6V1G1,ATP6V1H,EIF4H,HMGB1,HSP90AA1,IDH2,LAMP2,MAPK1,MAPK14,MMP14,Mmp3,MMP7,PEA15,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,STIP1	
Leukotriene Biosynthesis	3.97E-01	6.67E-02	NaN	DPEP3	
tRNA processing in the mitochondrion	3.95E-01	4.88E-02	NaN	ELAC2,TRNT1	
RNA Polymerase III Transcription	3.95E-01	4.88E-02	NaN	POLR2E,POLR2H	
Serotonin Degradation	3.94E-01	4.17E-02	NaN	ADH5,ALDH1A2,ALDH1L1,EXT2	
Oxidative Stress Induced Senescence	3.86E-01	4E-02	2.236	H2AX,MAPK1,MAPK14,MOV10,RBBP7	
TGF-β Signaling	3.85E-01	4.12E-02	0.000	MAPK1,MAPK14,TGFB1,TGFB3	
April Mediated Signaling	3.82E-01	4.76E-02	NaN	MAPK1,MAPK14	
Antigen Presentation Pathway	3.82E-01	4.76E-02	NaN	CANX,HLA-A	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	3.82E-01	3.9E-02	NaN	IRF3,LIF,MAPK1,PTX3,TGFB1,TGFB3	
p53 Signaling	3.78E-01	4.08E-02	NaN	BAX,MAPK14,SERPINE2,ST13	
Meiosis Initiation Signaling Pathway	3.78E-01	4.08E-02	1.000	CDC34,CUL1,RPA3,WDR5	
Crosstalk between Dendritic Cells and Natural Killer Cells	3.78E-01	4.08E-02	NaN	ACTB,HLA-A,TLN1,TNFRSF1B	
IL-1 Signaling	3.78E-01	4.08E-02	NaN	GNB1,GNG12,MAPK1,MAPK14	
GM-CSF Signaling	3.77E-01	4.29E-02	NaN	MAPK1,RACK1,STAT1	
IL-10 Signaling	3.76E-01	3.87E-02	-1.633	BLVRA,HLA-A,IL1RL1,MAPK1,MAPK14,STAT1	
Mismatch Repair	3.75E-01	6.25E-02	NaN	RPA3	
Processing of SMDT1	3.75E-01	6.25E-02	NaN	PMPCB	
Superpathway of Citrulline Metabolism	3.75E-01	6.25E-02	NaN	ASL	
Cohesin Chromatin Regulation Pathway	3.74E-01	3.68E-02	2.111	FAT3,H2AX,IGF2,POLR2D,POLR2E,POLR2H,POLR2I,PPM1L,PPP2CA,PPP2CB,PTPA	
Vasopressin regulates renal water homeostasis via Aquaporins	3.7E-01	4.65E-02	NaN	GNB1,GNG12	
B Cell Activating Factor Signaling	3.7E-01	4.65E-02	NaN	MAPK1,MAPK14	
