© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Workspace	My Projects
Project	Testosterone Proteomics 2026-08
Analysis	Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Date	Thu Aug 13 17:04:22 PDT 2026
Analysis ID	43610731

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Binding and Uptake of Ligands by Scavenger Receptors	3.76E-01		1.68E-02	AMBP,MASP1	
Bladder Cancer Signaling	3.76E-01		1.68E-02	MAP2K1,MMP13	
Regulation of lipid metabolism by PPARalpha	3.76E-01		1.68E-02	ACOX1,ANGPTL4	
Virus Entry via Endocytic Pathways	3.76E-01		1.68E-02	AP2A1,HLA-A	
Interleukin-10 signaling	3.76E-01		2.22E-02	TNFRSF1A	
SUMOylation of transcription cofactors	3.76E-01		2.22E-02	DDX5	
IL-33 Signaling Pathway	3.8E-01		1.54E-02	AKT1,MAP2K1,MAPK9	
Pre-NOTCH Expression and Processing	3.81E-01		1.69E-02	H2AJ,POGLUT1	
Aggrephagy	3.84E-01		2.27E-02	DYNC1I2	
Aspirin ADME	3.84E-01		2.27E-02	BSG	
Collagen chain trimerization	3.84E-01		2.27E-02	COL6A5	
Pyrimidine Ribonucleotides De Novo Biosynthesis	3.84E-01		2.27E-02	NME4	
Amyotrophic Lateral Sclerosis Signaling	3.85E-01		1.71E-02	GRIK4,RAB5A	
Cholecystokinin/Gastrin-mediated Signaling	3.85E-01		1.71E-02	MAP2K1,MAPK9	
GNRH Signaling	3.86E-01		1.55E-02	GNG5,MAP2K1,MAPK9	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	3.9E-01		1.56E-02	DUSP23,PPP1R11,PPP1R14A	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	3.9E-01		1.56E-02	DUSP23,PPP1R11,PPP1R14A	
B Cell Activating Factor Signaling	3.91E-01		2.33E-02	MAPK9	
Transport of vitamins, nucleosides, and related molecules	3.91E-01		2.33E-02	AVP	
Cardiac Conduction Signaling Pathway	3.94E-01		1.74E-02	SMARCC1,SP4	
Airway Pathology in Chronic Obstructive Pulmonary Disease	3.99E-01		1.75E-02	AMBP,Il36a	
Antigen Presentation Pathway	3.99E-01		2.38E-02	HLA-A	
April Mediated Signaling	3.99E-01		2.38E-02	MAPK9	
Regulation of beta-cell development	3.99E-01		2.38E-02	AKT1	
Regulation of Actin-based Motility by Rho	4.03E-01		1.77E-02	ITGAV,WASL	
Pyrimidine Ribonucleotides Interconversion	4.07E-01		2.44E-02	NME4	
Phase I - Functionalization of compounds	4.08E-01		1.79E-02	CYB5B,FDX2	
RBP4 in Immune and Metabolic Regulation Signaling Pathway	4.13E-01		1.80E-02	AKT1,MAPK9	
RNA Polymerase I Transcription	4.13E-01		1.80E-02	CHD4,H2AJ	
Senescence-Associated Secretory Phenotype (SASP)	4.13E-01		1.80E-02	H2AJ,UBE2S	
MITF-M-dependent gene expression	4.17E-01		1.82E-02	CTNNB1,SMARCC1	
Mitochondrial translation	4.17E-01		1.82E-02	MRPL12,MRRF	
α-Adrenergic Signaling	4.17E-01		1.82E-02	GNG5,MAP2K1	
Nucleotide Excision Repair	4.22E-01		1.83E-02	POLE3,TCEA1	
Complement System	4.24E-01		2.56E-02	MASP1	
FLT3 Signaling	4.24E-01		2.56E-02	AKT1	
NGF-stimulated transcription	4.24E-01		2.56E-02	CHD4	
Aryl Hydrocarbon Receptor Signaling	4.26E-01		1.65E-02	Gstp1 (includes others),GSTT1,GSTZ1	
Protein Sorting Signaling Pathway	4.26E-01		1.65E-02	CLINT1,SNX18,WASHC4	
Post-translational protein phosphorylation	4.32E-01		1.87E-02	DNAJC3,SCG3	
Sphingolipid metabolism	4.32E-01		1.87E-02	CYB5B,GLB1L3	
MyD88-independent TLR4 cascade	4.33E-01		2.63E-02	UBE2D2	
Resolution of Abasic Sites (AP sites)	4.33E-01		2.63E-02	POLE3	
tRNA Charging	4.33E-01		2.63E-02	EPRS1	
Apoptosis Signaling	4.37E-01		1.89E-02	MAP2K1,TNFRSF1A	
Paxillin Signaling	4.37E-01		1.89E-02	ITGAV,MAPK9	
Myelination Signaling Pathway	4.4E-01		1.52E-02	AKT1,CTNNB1,MAP2K1,MLST8,PDGFA	
Fatty acyl-CoA biosynthesis	4.42E-01		2.70E-02	ACSBG1	
Interferon Signaling	4.42E-01		2.70E-02	ISG15	
IGF-1 Signaling	4.43E-01		1.90E-02	AKT1,MAP2K1	
NoRC negatively regulates rRNA expression	4.48E-01		1.92E-02	H2AJ,SAP18	
Th1 and Th2 Activation Pathway	4.49E-01		1.70E-02	CHD4,HLA-A,ICOSLG	
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	4.52E-01		2.78E-02	CGA	
GPER1 signaling	4.53E-01		1.94E-02	GNG5,NME4	
mRNA 3 Prime End Processing Signaling Pathway	4.53E-01		1.94E-02	DIS3,EXOSC7	
Androgen Signaling	4.53E-01		1.71E-02	GNG5,GTF2E1,GTF2F2	
Netrin Signaling	4.53E-01		1.71E-02	AKT1,MAP2K1,WASL	
COPI-mediated anterograde transport	4.59E-01		1.96E-02	DCTN6,DYNC1I2	
Epithelial Membrane Protein Signaling Pathway	4.61E-01		1.73E-02	AKT1,ITGAV,MAP2K1	
Coagulation System	4.61E-01		2.86E-02	PLG	
Ubiquinol-10 Biosynthesis (Eukaryotic)	4.61E-01		2.86E-02	ECHDC1	
S Phase	4.64E-01		1.98E-02	AKT1,SMC3	
Tuberculosis Active Signaling Pathway	4.67E-01		1.63E-02	AKT1,MAPK9,TNFRSF1A,ULK1	
Neuronal Cancer Synapse Signaling Pathway	4.71E-01		1.64E-02	AKT1,CTNNB1,MAP2K1,MMP13	
Cargo concentration in the ER	4.72E-01		2.94E-02	LMAN2L	
Cardiac β-adrenergic Signaling	4.78E-01		1.78E-02	AKAP13,GNG5,PALM2AKAP2	
IL-1 Signaling	4.81E-01		2.04E-02	GNG5,MAPK9	
Small Cell Lung Cancer Signaling	4.81E-01		2.04E-02	AKT1,FHIT	
MAPK targets/ Nuclear events mediated by MAP kinases	4.82E-01		3.03E-02	MAPK9	
Signal amplification	4.82E-01		3.03E-02	GNG5	
Toll Like Receptor 3 (TLR3) Cascade	4.82E-01		3.03E-02	UBE2D2	
Unfolded Protein Response (UPR)	4.82E-01		3.03E-02	EIF2B2	
Fcgamma receptor (FCGR) dependent phagocytosis	4.83E-01		1.79E-02	MYO10,NCKAP1,WASL	
Gαq Signaling	4.83E-01		1.79E-02	AKT1,GNG5,MAP2K1	
Osteoarthritis Pathway	4.92E-01		1.68E-02	CTNNB1,ITGAV,MMP13,TNFRSF1A	
Endosomal Sorting Complex Required For Transport (ESCRT)	4.93E-01		3.12E-02	CHMP5	
RHO GTPases activate IQGAPs	4.93E-01		3.12E-02	CTNNB1	
Toll-like Receptor Cascades	4.93E-01		3.12E-02	RBSN	
Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells	4.93E-01		3.12E-02	ITGAV	
HOTAIR Regulatory Pathway	4.96E-01		1.82E-02	AKT1,CTNNB1,MMP13	
Coronavirus Pathogenesis Pathway	4.96E-01		1.69E-02	MAPK9,NUP98,RIGI,RPS23	
RUNX1 regulates megakaryocyte differentiation and platelet function	4.99E-01		2.11E-02	CBFB,H2AJ	
Role of NFAT in Cardiac Hypertrophy	5E-01		1.69E-02	AKT1,GNG5,MAP2K1,MAPK9	
Transcriptional Regulatory Network in Embryonic Stem Cells	5E-01		1.83E-02	AKT1,CTNNB1,MAP2K1	
Glutamate binding, activation of AMPA receptors and synaptic plasticity	5.04E-01		3.23E-02	AP2A1	
SWI/SNF chromatin remodelers	5.04E-01		3.23E-02	SMARCC1	
Signaling by BMP	5.04E-01		3.23E-02	SMURF1	
Transcriptional regulation of brown and beige adipocyte differentiation	5.04E-01		3.23E-02	CHD4	
Microautophagy Signaling Pathway	5.14E-01		1.86E-02	CHMP5,COL6A5,MAP1LC3A	
Signaling by NTRK3 (TRKC)	5.16E-01		3.33E-02	PTPRS	
Superpathway of Cholesterol Biosynthesis	5.16E-01		3.33E-02	ACAT1	
Acute Myeloid Leukemia Signaling	5.17E-01		2.17E-02	AKT1,MAP2K1	
Cell junction organization	5.17E-01		2.17E-02	CDH17,CTNNB1	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	5.17E-01		2.17E-02	ISG15,RIGI	
Actin Nucleation by ARP-WASP Complex	5.24E-01		2.20E-02	ITGAV,WASL	
NER (Nucleotide Excision Repair, Enhanced Pathway)	5.24E-01		2.20E-02	POLE3,TCEA1	
S-Adenosylmethionine Regulatory Signaling Pathway	5.24E-01		2.20E-02	MAT2B,MLST8	
Epithelial Adherens Junction Signaling	5.28E-01		1.90E-02	AKT1,CTNNB1,MYH10	
Factors Promoting Cardiogenesis in Vertebrates	5.28E-01		1.90E-02	CTNNB1,LRP6,MAPK9	
Paracetamol ADME	5.28E-01		3.45E-02	GSTT1	
Processing of Capped Intronless Pre-mRNA	5.28E-01		3.45E-02	NCBP2	
Role of p14/p19ARF in Tumor Suppression	5.28E-01		3.45E-02	NPM3	
TNFs bind their physiological receptors	5.28E-01		3.45E-02	TNFRSF1A	
Tuberculosis Latent Signaling Pathway	5.3E-01		2.22E-02	ACAT1,TNFRSF1A	
Histone Modification Signaling Pathway	5.31E-01		1.67E-02	CHD1,CHD4,MAPK9,PRMT5,TP53BP1	
Cachexia Signaling Pathway	5.32E-01		1.61E-02	AKT1,EIF2B2,Il36a,MAPK9,MYOC,TNFRSF1A	
Endocannabinoid Neuronal Synapse Pathway	5.33E-01		1.91E-02	GNG5,MAPK15,MAPK9	
Relaxin Signaling	5.43E-01		1.94E-02	AKT1,GNG5,MAP2K1	
Transcriptional regulation of granulopoiesis	5.44E-01		2.27E-02	CBFB,H2AJ	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	5.48E-01		1.95E-02	Il36a,MAPK9,RIGI	
PDGF Signaling	5.5E-01		2.30E-02	MAP2K1,PDGFA	
Cardiogenesis	5.55E-01		3.70E-02	CTNNB1	
Integrin signaling	5.55E-01		3.70E-02	AKT1	
Xenobiotic Metabolism PXR Signaling Pathway	5.55E-01		1.80E-02	DNAJC7,Gstp1 (includes others),GSTT1,GSTZ1	
FGF Signaling	5.57E-01		2.33E-02	AKT1,MAP2K1	
ERK/MAPK Signaling	5.63E-01		1.82E-02	ITGAV,MAP2K1,PPP1R11,PPP1R14A	
PTEN Signaling	5.63E-01		1.99E-02	AKT1,ITGAV,MAP2K1	
Axonal Periodic Cytoskeleton Signaling Pathway	5.64E-01		2.35E-02	ADD1,MYH10	
LPS-stimulated MAPK Signaling	5.64E-01		2.35E-02	MAP2K1,MAPK9	
Multiple Sclerosis Signaling Pathway	5.67E-01		1.83E-02	HLA-A,Il36a,MASP1,TNFRSF1A	
BMAL1:CLOCK,NPAS2 activates circadian expression	5.68E-01		3.85E-02	AVP	
Glycogen metabolism	5.68E-01		3.85E-02	AKR1E2	
IL-17A Signaling in Gastric Cells	5.68E-01		3.85E-02	MAPK9	
Metabolism of porphyrins	5.68E-01		3.85E-02	CPOX	
Miscellaneous transport and binding events	5.68E-01		3.85E-02	ADD1	
Leptin Signaling in Obesity	5.72E-01		2.38E-02	AKT1,MAP2K1	
Puberty Induction Signaling Pathway	5.72E-01		2.38E-02	AKT1,CGA	
Calcium Signaling	5.72E-01		1.83E-02	CASQ2,MYH10,MYH14,MYO10	
Huntington's Disease Signaling	5.77E-01		1.74E-02	AKT1,DYNC1I2,GNG5,MAPK9,UBE2S	
JAK/STAT Signaling	5.79E-01		2.41E-02	AKT1,MAP2K1	
PIP3 activates AKT signaling	5.79E-01		2.03E-02	AKT1,MLST8,PDGFA	
ER-Mitochondrial Communication Signaling Pathway	5.86E-01		2.44E-02	AKT1,SYNJ2BP	
FLT3 Signaling in Hematopoietic Progenitor Cells	5.86E-01		2.44E-02	AKT1,MAP2K1	
IL-3 Signaling	5.94E-01		2.47E-02	AKT1,MAP2K1	
Signaling by NTRK1 (TRKA)	5.94E-01		2.47E-02	AP2A1,MAP2K1	
Integrin to Cytoskeleton Signaling Pathway	5.98E-01		1.89E-02	AKT1,ITGAV,MAP2K1,WASL	
Other interleukin signaling	5.98E-01		4.17E-02	STX4	
Regulation of RUNX1 Expression and Activity	5.98E-01		4.17E-02	CBFB	
Vitamin-C Transport	5.98E-01		4.17E-02	STOM	
G alpha (12/13) signalling events	6.01E-01		2.50E-02	AKAP13,GNG5	
MSP-RON Signaling in Cancer Cells Pathway	6.06E-01		2.10E-02	AKT1,CTNNB1,MAP2K1	
Signaling by MET	6.09E-01		2.53E-02	EPS15,SPINT1	
Adrenomedullin signaling pathway	6.12E-01		1.91E-02	AKT1,MAP2K1,MAPK15,MAPK9	
DNA Replication Pre-Initiation	6.12E-01		2.11E-02	H2AJ,MCM3,UBE2S	
Apelin Cardiac Fibroblast Signaling Pathway	6.14E-01		4.35E-02	AKT1	
Cellular response to mitochondrial stress	6.14E-01		4.35E-02	EIF2B2	
RAF-independent MAPK1/3 activation	6.14E-01		4.35E-02	MAP2K1	
Signaling by NODAL	6.14E-01		4.35E-02	DRAP1	
Tryptophan Degradation III (Eukaryotic)	6.14E-01		4.35E-02	ACAT1	
Meiotic synapsis	6.17E-01		2.56E-02	H2AJ,SMC3	
NF-κB Activation by Viruses	6.17E-01		2.56E-02	AKT1,ITGAV	
Neurotrophin/TRK Signaling	6.17E-01		2.56E-02	AKT1,MAP2K1	
Renal Cell Carcinoma Signaling	6.17E-01		2.56E-02	AKT1,MAP2K1	
P2Y Purinergic Receptor Signaling Pathway	6.18E-01		2.13E-02	AKT1,GNG5,MAP2K1	
Regulation of endogenous retroelements	6.18E-01		2.13E-02	CHD4,H2AJ,SMARCC1	
Th2 Pathway	6.18E-01		2.13E-02	CHD4,HLA-A,ICOSLG	
Neutrophil Extracellular Trap Signaling Pathway	6.23E-01		1.68E-02	AKT1,COL6A5,MAP2K1,MAPK9,NDUFA2,NDUFV3,PLA2R1	
Antiproliferative Role of Somatostatin Receptor 2	6.25E-01		2.60E-02	GNG5,MAP2K1	
Interferon alpha/beta signaling	6.25E-01		2.60E-02	HLA-A,ISG15	
RAC Signaling	6.29E-01		2.16E-02	ITGAV,MAP2K1,NCKAP1	
Phagosome Formation	6.3E-01		1.56E-02	AKT1,CELSR2,ITGAV,MAP2K1,MAPK15,MYH10,MYH14,MYO10,PLA2R1,VTN,WASL	
Granulocyte Adhesion and Diapedesis	6.3E-01		1.95E-02	Ccl9,JAM3,MMP13,TNFRSF1A	
Formation of paraxial mesoderm	6.31E-01		4.55E-02	CTNNB1	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	6.31E-01		4.55E-02	NME4	
TCA Cycle II (Eukaryotic)	6.31E-01		4.55E-02	SUCLG1	
GDNF Family Ligand-Receptor Interactions	6.33E-01		2.63E-02	MAP2K1,MAPK9	
Macropinocytosis Signaling	6.33E-01		2.63E-02	PDGFA,RAB5A	
Plasma lipoprotein assembly, remodeling, and clearance	6.33E-01		2.63E-02	ANGPTL4,AP2A1	
SNARE Signaling Pathway	6.35E-01		2.17E-02	MYH10,MYH14,MYO10	
Chromatin modifying enzymes	6.4E-01		1.85E-02	CHD4,H2AJ,PRMT5,SAP18,SMARCC1	
Atherosclerosis Signaling	6.41E-01		2.19E-02	MMP13,PDGFA,PLA2R1	
Ferroptosis Signaling Pathway	6.41E-01		2.19E-02	ANGPTL4,DPP4,MAP2K1	
Extra-nuclear estrogen signaling	6.42E-01		2.67E-02	AKT1,GNG5	
Natural Killer Cell Signaling	6.45E-01		1.98E-02	AKT1,HLA-A,MAP2K1,WASL	
Oxytocin in Brain Signaling Pathway	6.45E-01		1.98E-02	AKT1,GNG5,MAP2K1,PLA2R1	
Pulmonary Healing Signaling Pathway	6.45E-01		1.98E-02	CTNNB1,MAPK9,MMP13,TNFRSF1A	
Co-inhibition by CTLA4	6.49E-01		4.76E-02	AKT1	
Endoplasmic Reticulum Stress Pathway	6.49E-01		4.76E-02	DNAJC3	
Synaptic adhesion-like molecules	6.49E-01		4.76E-02	PTPRS	
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	6.5E-01		2.70E-02	CHD4,H2AJ	
Granzyme A Signaling	6.5E-01		2.70E-02	NDUFA2,NDUFV3	
Thioredoxin Signaling Pathway	6.5E-01		2.70E-02	AKT1,MAPK9	
Serotonin Receptor Signaling	6.51E-01		1.67E-02	ACAT1,AKT1,ARRB1,GNG5,MAP2K1,PLA2R1,TGM1,TGM3	
Cardiac Hypertrophy Signaling	6.53E-01		1.87E-02	AKT1,EIF2B2,GNG5,MAP2K1,MAPK9	
Human Embryonic Stem Cell Pluripotency	6.55E-01		2.00E-02	AKT1,CTNNB1,MAP2K1,PDGFA	
Ephrin B Signaling	6.59E-01		2.74E-02	CTNNB1,GNG5	
Regulation of RUNX2 expression and activity	6.59E-01		2.74E-02	CBFB,SMURF1	
SUMOylation of chromatin organization proteins	6.59E-01		2.74E-02	NUP93,NUP98	
Signaling by FGFR2	6.59E-01		2.74E-02	GTF2F2,NCBP2	
GABA Receptor Signaling	6.6E-01		2.24E-02	AP2A1,GNG5,UBQLN1	
PI3K/AKT Signaling	6.6E-01		2.01E-02	AKT1,CTNNB1,ITGAV,MAP2K1	
Apelin Liver Signaling Pathway	6.67E-01		5.00E-02	MAPK9	
Receptor-type tyrosine-protein phosphatases	6.67E-01		5.00E-02	PTPRS	
SUMOylation of transcription factors	6.67E-01		5.00E-02	TP53BP1	
Valine Degradation I	6.67E-01		5.00E-02	AUH	
Translocation of SLC2A4 (GLUT4) to the plasma membrane	6.68E-01		2.78E-02	AKT1,STX4	
Xenobiotic Metabolism Signaling	6.69E-01		1.80E-02	DNAJC7,Gstp1 (includes others),GSTT1,GSTZ1,MAP2K1,MAPK9	
Remodeling of Epithelial Adherens Junctions	6.77E-01		2.82E-02	CTNNB1,RAB5A	
Neuroinflammation Signaling Pathway	6.81E-01		1.82E-02	AKT1,CTNNB1,HLA-A,MAPK15,MAPK9,TNFRSF1A	
LXR/RXR Activation	6.85E-01		2.31E-02	AMBP,TNFRSF1A,VTN	
Regulation of the Epithelial-Mesenchymal Transition Pathway	6.85E-01		2.06E-02	AKT1,CTNNB1,MAP2K1,SMURF1	
GM-CSF Signaling	6.86E-01		2.86E-02	AKT1,MAP2K1	
FOXO-mediated transcription	6.87E-01		5.26E-02	AKT1	
Mitochondrial L-carnitine Shuttle Pathway	6.87E-01		5.26E-02	ACSBG1	
Regulation of TP53 Activity through Methylation	6.87E-01		5.26E-02	PRMT5	
Signaling by Activin	6.87E-01		5.26E-02	DRAP1	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	6.87E-01		5.26E-02	ACAT1	
γ-linolenate Biosynthesis II (Animals)	6.87E-01		5.26E-02	ACSBG1	
NOD1/2 Signaling Pathway	6.91E-01		2.07E-02	Il36a,MAP2K1,MAPK9,RIGI	
ROBO SLIT Signaling Pathway	6.92E-01		2.33E-02	AKT1,CTNNB1,WASL	
Sensory processing of sound by inner hair cells of the cochlea	6.95E-01		2.90E-02	CLIC5,TRIOBP	
Glioma Signaling	6.98E-01		2.34E-02	AKT1,MAP2K1,PDGFA	
Complex I biogenesis	7.05E-01		2.94E-02	NDUFA2,NDUFV3	
Glutamate Receptor Signaling	7.05E-01		2.94E-02	GNG5,GRIK4	
Glycosaminoglycan metabolism	7.05E-01		2.36E-02	B3GNT7,GLB1L3,IDUA	
Gαs Signaling	7.05E-01		2.36E-02	ADD1,GNG5,MAP2K1	
Dermatan Sulfate Degradation (Metazoa)	7.08E-01		5.56E-02	IDUA	
Formation of definitive endoderm	7.08E-01		5.56E-02	CTNNB1	
Formation of the nephric duct	7.08E-01		5.56E-02	CTNNB1	
IL-17 Signaling	7.12E-01		2.12E-02	AKT1,Il36a,MAPK9,MMP13	
Abacavir ADME	7.15E-01		2.99E-02	MAPDA,NME4	
CD40 Signaling	7.15E-01		2.99E-02	MAP2K1,MAPK9	
ERBB4 Signaling	7.15E-01		2.99E-02	AKT1,MAP2K1	
Pyridoxal 5'-phosphate Salvage Pathway	7.15E-01		2.99E-02	MAP2K1,MAPK9	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	7.15E-01		2.99E-02	AKT1,MAP2K1	
SPINK1 General Cancer Pathway	7.15E-01		2.99E-02	AKT1,MAP2K1	
Pancreatic Adenocarcinoma Signaling	7.19E-01		2.40E-02	AKT1,MAP2K1,MAPK9	
Induction of Apoptosis by HIV1	7.25E-01		3.03E-02	MAPK9,TNFRSF1A	
ZFX in Tumorigenesis Signaling Pathway	7.25E-01		3.03E-02	AKT1,MLST8	
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	7.26E-01		2.42E-02	DNAJC3,PLG,SCG3	
Germ layer formation at gastrulation	7.3E-01		5.88E-02	CTNNB1	
Metabolism of Angiotensinogen to Angiotensins	7.3E-01		5.88E-02	MME	
Specification of the neural plate border	7.3E-01		5.88E-02	CTNNB1	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	7.33E-01		2.44E-02	AKT1,CTNNB1,MAP2K1	
Synthesis of DNA	7.33E-01		2.44E-02	MCM3,POLE3,UBE2S	
Mitochondrial protein import	7.35E-01		3.08E-02	CMC4,COA4	
Cytosolic sensors of pathogen-associated DNA	7.45E-01		3.12E-02	CTNNB1,LRRFIP1	
ERB2-ERBB3 Signaling	7.45E-01		3.12E-02	AKT1,MAP2K1	
Pathogen Induced Cytokine Storm Signaling Pathway	7.47E-01		1.83E-02	Ccl9,COL6A5,Il36a,MAPK15,MAPK9,RIGI,TNFRSF1A	
NGF Signaling	7.47E-01		2.48E-02	AKT1,MAP2K1,MAPK9	
RHO GTPase cycle	7.51E-01		1.78E-02	AKAP13,FAM169A,GOLGA3,HINT2,NCKAP1,NISCH,STOM,WASL	
Glutaryl-CoA Degradation	7.54E-01		6.25E-02	ACAT1	
Processing of SMDT1	7.54E-01		6.25E-02	AFG3L2	
Fc Epsilon RI Signaling	7.54E-01		2.50E-02	AKT1,MAP2K1,MAPK9	
Germ Cell Differentiation Signaling Pathway	7.54E-01		2.50E-02	CTNNB1,LRP6,PDGFA	
IL-2 Signaling	7.55E-01		3.17E-02	AKT1,MAP2K1	
Erythropoietin Signaling Pathway	7.63E-01		2.22E-02	AKT1,CTNNB1,Il36a,MAP2K1	
Kinesins	7.66E-01		3.23E-02	KIF18B,KIF2B	
Transcriptional and post-translational regulation of MITF-M expression and activity	7.66E-01		3.23E-02	CTNNB1,EPRS1	
Neuregulin Signaling	7.69E-01		2.54E-02	AKT1,ITGAV,MAP2K1	
Glioblastoma Multiforme Signaling	7.75E-01		2.25E-02	AKT1,CTNNB1,MAP2K1,PDGFA	
Myocardin Signaling Pathway	7.77E-01		2.56E-02	AKT1,PDGFA,PRMT5	
Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation	7.77E-01		3.28E-02	RPS23,RWDD1	
Fatty Acid Activation	7.8E-01		6.67E-02	ACSBG1	
Mevalonate Pathway I	7.8E-01		6.67E-02	ACAT1	
Mitotic Telophase/Cytokinesis	7.8E-01		6.67E-02	SMC3	
Pentose phosphate pathway	7.8E-01		6.67E-02	RBKS	
Regulation of cholesterol biosynthesis by SREBP (SREBF)	7.8E-01		6.67E-02	RAN	
mTOR Signaling	7.84E-01		2.08E-02	AKT1,EIF4EBP2,MLST8,RPS23,ULK1	
Prostate Cancer Signaling	7.84E-01		2.59E-02	AKT1,CTNNB1,MAP2K1	
E3 ubiquitin ligases ubiquitinate target proteins	7.88E-01		3.33E-02	HLA-A,UBE2D2	
PCP (Planar Cell Polarity) Pathway	7.88E-01		3.33E-02	CTHRC1,MAPK9	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	7.92E-01		2.61E-02	MAP2K1,MAPK9,PLA2R1	
TCF dependent signaling in response to WNT	8.05E-01		2.12E-02	AKT1,CTNNB1,H2AJ,LRP6,SFRP2	
Formation of axial mesoderm	8.07E-01		7.14E-02	CTNNB1	
Regulation of TP53 Activity through Association with Co-factors	8.07E-01		7.14E-02	AKT1	
PD-1, PD-L1 cancer immunotherapy pathway	8.08E-01		2.65E-02	AKT1,HLA-A,TNFRSF1A	
Cancer Drug Resistance by Drug Efflux	8.12E-01		3.45E-02	AKT1,MAP2K1	
Role of CHK Proteins in Cell Cycle Checkpoint Control	8.12E-01		3.45E-02	MDC1,RAD1	
Xenobiotic Metabolism CAR Signaling Pathway	8.16E-01		2.14E-02	DNAJC7,Gstp1 (includes others),GSTT1,GSTZ1,MAP2K1	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	8.24E-01		3.51E-02	DCTN6,DYNC1I2	
Neurexins and neuroligins	8.24E-01		3.51E-02	DBNL,PDLIM5	
Phase II - Conjugation of compounds	8.24E-01		2.70E-02	GSTT1,GSTZ1,MAT2B	
HER-2 Signaling in Breast Cancer	8.27E-01		2.16E-02	AKT1,MAP2K1,MLST8,NUP93,NUP98	
Sirtuin Signaling Pathway	8.29E-01		2.03E-02	AKT1,MAP1LC3A,MAPK15,NDUFA2,NDUFV3,TP53BP1	
CD27 Signaling in Lymphocytes	8.36E-01		3.57E-02	MAP2K1,MAPK9	
CNTF Signaling	8.36E-01		3.57E-02	AKT1,MAP2K1	
Deadenylation-dependent mRNA decay	8.36E-01		3.57E-02	DIS3,EXOSC7	
EGF Signaling	8.36E-01		3.57E-02	AKT1,MAP2K1	
Cytosolic iron-sulfur cluster assembly	8.37E-01		7.69E-02	CIAPIN1	
Dissolution of Fibrin Clot	8.37E-01		7.69E-02	PLG	
CXCR4 Signaling	8.38E-01		2.38E-02	AKT1,GNG5,MAP2K1,MAPK9	
Amino acids regulate mTORC1	8.48E-01		3.64E-02	LAMTOR4,MLST8	
Sensory processing of sound by outer hair cells of the cochlea	8.48E-01		3.64E-02	CLIC5,TRIOBP	
Factors involved in megakaryocyte development and platelet production	8.49E-01		2.78E-02	EHD2,RAB5A,RBSN	
PPAR Signaling	8.49E-01		2.78E-02	MAP2K1,PDGFA,TNFRSF1A	
Telomerase Signaling	8.49E-01		2.78E-02	AKT1,MAP2K1,TEP1	
Xenobiotic Metabolism AHR Signaling Pathway	8.49E-01		2.78E-02	Gstp1 (includes others),GSTT1,GSTZ1	
Apelin Cardiomyocyte Signaling Pathway	8.58E-01		2.80E-02	AKT1,MAPK15,MAPK9	
