© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Insulin Secretion Signaling Pathway	1.13E00	1.72E-02	NaN	GOSR1,MAPK3,PDHA1,RYR2,SSR4	
Gαs Signaling	1.13E00	2.36E-02	NaN	MAP2K2,MAPK3,RYR2	
Synaptic Long Term Depression	1.12E00	1.94E-02	NaN	MAP2K2,MAPK3,NT5C,RYR2	
Pathogen Induced Cytokine Storm Signaling Pathway	1.12E00	1.57E-02	NaN	COL2A1,Cxcl2,FADD,GSDMD,MAPK3,RYR2	
Class I MHC mediated antigen processing and presentation	1.12E00	1.57E-02	NaN	BCAP31,HLA-A,STUB1,UBE2B,UBE2D3,UBE2G2	
Signaling by ERBB4	1.12E00	3.39E-02	NaN	EGF,EREG	
Mitotic G2-G2/M phases	1.12E00	1.93E-02	NaN	CLASP1,DCTN1,TUBA1C,TUBB6	
D-myo-inositol-5-phosphate Metabolism	1.12E00	1.93E-02	NaN	NT5C,PPP3CA,PRUNE1,PTPN11	
MHC class II antigen presentation	1.12E00	2.34E-02	NaN	DCTN1,TUBA1C,TUBB6	
Glioma Signaling	1.12E00	2.34E-02	NaN	EGF,MAP2K2,MAPK3	
Endocannabinoid Developing Neuron Pathway	1.12E00	2.34E-02	NaN	CDKN1B,MAP2K2,MAPK3	
Clathrin-mediated endocytosis	1.11E00	2.33E-02	NaN	ARF6,EGF,EREG	
ROBO SLIT Signaling Pathway	1.11E00	2.33E-02	NaN	ARF5,ARF6,NCK1	
IL-6 Signaling	1.11E00	2.33E-02	NaN	MAP2K2,MAPK3,PTPN11	
Metabolism of non-coding RNA	1.11E00	3.33E-02	NaN	CLNS1A,NUP58	
Endometrial Cancer Signaling	1.11E00	3.33E-02	NaN	MAP2K2,MAPK3	
Synaptic Long Term Potentiation	1.09E00	2.29E-02	NaN	MAP2K2,MAPK3,PPP3CA	
